0 0.920973 	Random Pair
0.325402 1.08959 	[Smith(wv)],[L-R both/1.5(w/tv)]
0.325466 1.08895 	L-R both/1(w/tv)
0.325472 1.08853 	[Smith(wv)],[L-R both/0.25(fwv)]
0.325472 1.08966 	[Smith(wv)],[L-R both/1.5(fwv)]
0.325473 1.09369 	L-R both/2(fwv)
0.325478 1.08125 	[Smith(wv)],[L-R defense/0.25(w/tv)]
0.325485 1.09369 	L-R both/2(w/tv)
0.325496 1.09366 	L-R both/2(wv)
0.325498 1.08851 	[Smith(wv)],[L-R both/0.5(wv)]
0.3255 1.08851 	L-R both/0.75(fwv)
0.325509 1.08839 	L-R both/0.75(wv)
0.32551 1.09023 	[Smith(wv)],[L-R both/2(wv)]
0.325524 1.08853 	L-R both/0.5(w/tv)
0.325524 1.09024 	[Smith(wv)],[L-R both/2.25(w/tv)]
0.325526 1.08856 	L-R both/0.25(wv)
0.325526 1.09024 	[Smith(wv)],[L-R both/2.25(fwv)]
0.325537 1.08852 	[Smith(wv)],[L-R both/0.75(fwv)]
0.325538 1.08847 	[Smith(wv)],[L-R both/0.5(fwv)]
0.325539 1.09023 	[Smith(wv)],[L-R both/2.25(wv)]
0.325556 1.08069 	L-R defense/0.5(w/tv)
0.325563 1.08847 	[Smith(wv)],[L-R both/0.75(w/tv)]
0.325565 1.09028 	[Smith(wv)],[L-R both/2(fwv)]
0.325576 1.08843 	L-R both/0.5(fwv)
0.325582 1.08848 	[Smith(wv)],[L-R both/0.25(w/tv)]
0.325583 1.08855 	[Smith(wv)],[L-R both/0.5(w/tv)]
0.325587 1.08841 	L-R both/0.25(w/tv)
0.325589 1.08848 	L-R both/0.75(w/tv)
0.325592 1.08846 	[Smith(wv)],[L-R both/0.25(wv)]
0.325597 1.08942 	[Smith(wv)],[L-R both/1.5(wv)]
0.325605 1.09026 	[Smith(wv)],[L-R both/2(w/tv)]
0.325608 1.08841 	L-R both/0.25(fwv)
0.325611 1.08937 	[Smith(wv)],[L-R both/1.75(wv)]
0.325649 1.08845 	L-R both/0.5(wv)
0.325664 1.08843 	[Smith(wv)],[L-R both/0.75(wv)]
0.325767 1.08953 	[Smith(wv)],[L-R both/1.75(fwv)]
0.325901 1.08643 	Keener(0.001, +0, norm)(fwv)
0.326053 1.08642 	[Smith(wv)],[Keener(0.001, +1, norm)(fwv)]
0.326071 1.08639 	[Smith(wv)],[Keener(0.001, +0, norm)(fwv)]
0.32617 1.08648 	Keener(0.001, +1, norm)(fwv)
0.326655 1.08056 	[Smith(wv)],[L-R defense/1(w/tv)]
0.326704 1.07966 	L-R defense/1.25(w/tv)
0.326773 1.11887 	L-R offense/2(keener)
0.326942 1.08027 	[Smith(wv)],[L-R defense/1.25(w/tv)]
0.327043 1.08019 	L-R defense/1(w/tv)
