0 0.224663 0.259653	[SDom(wv)],[Random Pair]
0.441167 0.432089 0.0254949	[Schwartz(wv)],[Ext-Minmin(fwv)]
0.441168 0.432053 0.0254949	[Schwartz(wv)],[L-R defense/1.75(wv)]
0.441168 0.43213 0.0254949	[SDom(wv)],[L-R defense/1(wv)]
0.44117 0.432071 0.0254949	[MDD(sum)(wv)],[L-R defense/2(fwv)]
0.441173 0.432054 0.0254949	[Schwartz(wv)],[L-R defense/1.25(fwv)]
0.441174 0.432124 0.0254949	[Schwartz(wv)],[L-R defense/2.25(fwv)]
0.441174 0.432127 0.0254949	[SDom(wv)],[Ext-Minmin(wv)]
0.441175 0.432139 0.0254949	[Schwartz(wv)],[Ext-Minmin(wv)]
0.441176 0.432108 0.0254949	[MDD(sum)(wv)],[L-R defense/0.5(rel-margins)]
0.441179 0.432128 0.0254949	[MDD(sum)(wv)],[L-R defense/0.25(rel-margins)]
0.44118 0.432136 0.0254949	Ext-Minmin(fwv)
0.441182 0.432128 0.0254949	[SDom(wv)],[L-R defense/2(fwv)]
0.441186 0.432157 0.0254949	L-R defense/1(wv)
0.441187 0.432078 0.0254949	[SDom(wv)],[L-R defense/1.25(fwv)]
0.441187 0.432163 0.0254949	L-R defense/1.5(fwv)
0.441188 0.432073 0.0254949	L-R defense/1(fwv)
0.441189 0.432094 0.0254949	[Schwartz(wv)],[L-R defense/1(fwv)]
0.441193 0.43215 0.0254949	[Schwartz(wv)],[L-R defense/2.25(wv)]
0.441198 0.4322 0.0254949	[SDom(wv)],[L-R defense/0.25(wv)]
0.441202 0.432445 0.0255199	[MDD(sum)(wv)],[Minmax(fwv)]
0.441202 0.432506 0.0255199	[MDD(sum)(wv)],[Minmax(PO)]
0.441204 0.432155 0.0254949	[MDD(sum)(wv)],[L-R defense/0.75(fwv)]
0.441209 0.432097 0.0254949	[MDD(sum)(wv)],[L-R defense/1(rel-margins)]
0.441211 0.432178 0.0254949	[MDD(sum)(wv)],[Ext-Minmin(fwv)]
0.441213 0.432077 0.0254949	Ext-Minmin(wv)
0.441215 0.43214 0.0254949	[MDD(sum)(wv)],[L-R defense/1(fwv)]
0.441218 0.432166 0.0254949	[MDD(sum)(wv)],[L-R defense/2.25(fwv)]
0.441223 0.432104 0.0254949	[MDD(sum)(wv)],[L-R defense/1(wv)]
0.441224 0.431243 0.0250683	[MDD(sum)(wv)],[Schulze(fwv)]
0.441592 0.389631 0.0211814	[MDD(sum)(wv)],[HITS(0.001)(wv)]
0.442555 0.408926 0.0191198	[MDD(sum)(wv)],[Ext-Minmax(wv)]
0.442693 0.409086 0.0191198	[MDD(sum)(wv)],[Ext-Minmax(PO)]
0.444277 0.391268 0.0144588	[Schwartz(wv)],[Cardinal-10(norm)]
0.444893 0.38 0.0185472	[Schwartz(wv)],[L-R offense/2.25(rel-margins)]
0.445186 0.392153 0.0138686	[Schwartz(wv)],[Cardinal-10]
0.448005 0.380205 0.0181607	[Schwartz(wv)],[L-R offense/2(rel-margins)]
0.449176 0.368599 0.00955816	L-R both/0.5(rel-margins)
0.449208 0.368871 0.00955816	[SDom(wv)],[L-R both/0.5(rel-margins)]
0.449283 0.392464 0.0142168	[Schwartz(wv)],[L-R defense/2.25(PO)]
0.449421 0.392545 0.0141864	[Schwartz(wv)],[L-R defense/2(PO)]
0.449537 0.391384 0.0142074	[Schwartz(wv)],[Keener(0.001, +1, raw)(PO)]
0.449714 0.392185 0.0142106	[Schwartz(wv)],[L-R defense/1.5(PO)]
0.449902 0.392119 0.014216	[Schwartz(wv)],[L-R defense/1.75(PO)]
0.449985 0.391718 0.0142352	[Schwartz(wv)],[L-R offense/0.25(PO)]
0.450428 0.391489 0.0142328	[Schwartz(wv)],[L-R offense/0.5(PO)]
0.450484 0.391758 0.014232	[Schwartz(wv)],[L-R defense/1.25(PO)]
0.450748 0.39134 0.0142605	[Schwartz(wv)],[L-R offense/0.75(PO)]
0.450863 0.390753 0.0142629	[Schwartz(wv)],[Keener(0.001, +1, norm)(rel-margins)]
0.45124 0.391231 0.0142262	[Schwartz(wv)],[Sinkhorn(0.001, +1)(rel-margins)]
0.451501 0.39336 0.0143015	[Schwartz(wv)],[L-R both/0.75(rel-margins)]
0.451779 0.403695 0.0166836	L-R both/0.25(rel-margins)
0.451868 0.38936 0.0145592	[Schwartz(wv)],[NREM-Opt]
0.451893 0.403764 0.0166836	[SDom(wv)],[L-R both/0.25(rel-margins)]
0.452056 0.403973 0.0167132	[Schwartz(wv)],[L-R both/0.25(rel-margins)]
0.452078 0.390832 0.0142633	[Schwartz(wv)],[ODM-arctan(0.001)(PO)]
0.452078 0.391784 0.0142605	[Schwartz(wv)],[L-R both/1.5(PO)]
