0 0.32685 	Keener(0.001, +1, norm)(w/tv)
0.722128 0.23912 	L-R defense/2(rel-margins)
0.722479 0.43241 	AVGEliminate-[VoteForAgainst]/fd
0.7306 0.239412 	L-R defense/2.25(rel-margins)
0.76159 0.131845 	Eliminate-[Nauru Borda]/fd
0.780714 0.240019 	Ext-Minmax(w/tv)
0.780887 0.241547 	Ext-Minmax(PO)
0.780907 0.241574 	Ext-Minmax(keener)
0.780925 0.24156 	Ext-Minmax(wv)
0.781296 0.240216 	Ext-Minmax(fwv)
0.781318 0.240217 	Ext-Minmax(rel-margins)
0.783159 0.129759 	AVGEliminate-[Nauru Borda]/fd
0.784783 0.513936 	VoteForAgainst
0.797756 0.658338 	Random Pair
0.804343 0.264502 	Minmax(keener)
0.804382 0.264508 	Minmax(fwv)
0.804391 0.264494 	Minmax(w/tv)
0.804397 0.264493 	Maximin(keener)
0.804407 0.26448 	Minmax(wv)
0.80442 0.26446 	Minmax(PO)
0.804455 0.264445 	Minmax(rel-margins)
0.804829 0.264296 	Maximin(PO)
0.845232 0.390356 	Nauru Borda
0.98945 0.541279 	AVGEliminate-[Plurality]/fd
0.989591 0.489769 	Eliminate-[Plurality]/fd
1 0.587074 	Plurality
