Gradual-[Condorcet](None, ordinal)	-68.509 86.095 
Gradual-[Copeland](None, cardinal)	-61.0726 85.2667 
Gradual-[Copeland](None, ordinal)	-61.0519 85.2255 
Gradual-[2. order Copeland/2/1](None, cardinal)	-60.5753 85.8693 
Gradual-[2. order Copeland/2/1](None, ordinal)	-60.5757 85.8305 
Gradual-[2. order Copeland](None, cardinal)	-60.4305 86.4019 
Gradual-[2. order Copeland](None, ordinal)	-60.4142 86.4981 
Random Pair	-63.4438 93.3203 
Cardinal-10(norm)	-60.7992 82.9265 
Cardinal-10	-59.8258 83.4871 
VMedianOS-10(norm, tiebreak)	-63.7024 83.3923 
VMedianOS-10(tiebreak)	-64.1667 82.6788 
VMedianOS-10(norm)	-67.5667 84.2707 
VMedianOS-10()	-67.8142 83.8886 
Mode-Ratings	-54.5816 78.0412 
Young(wv,linear)	-57.0692 82.5594 
Young(sym-completion,linear)	-57.0692 82.5594 

